PN,Descrition,Host PN,CAAC,FAA,EASA,CMM,OEM,MRO
066-1021-01,MARKER BEACON RECEIVER/ISOLATION AMPLIFIER,,I/R/M,,,006-00044-0002,BENDIX/KING,HX
066-1062-00,ATCRBS TRANSPONDER,,I/R/M,,,006-05143-0007,BENDIX/KING,HX
066-1062-02,ATCRBS TRANSPONDER,,I/R/M,,,006-05143-0007,BENDIX/KING,HX
066-1062-10,ATCRBS TRANSPONDER,,I/R/M,,,006-05143-0007,BENDIX/KING,HX
066-1064-00,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-05144-0006,BENDIX/KING,HX
066-1068-01,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-05144-0006,BENDIX/KING,HX
066-1068-04,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-05144-0006,BENDIX/KING,HX
066-1088-00,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-05144-0006,BENDIX/KING,HX
066-1088-01,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-05144-0006,BENDIX/KING,HX
066-3054-00,RADAR ALTIMETERS,,I/R/M,,,006-05152-0003,ALLIEDSIGNAL,HX
066-3054-01,RADAR ALTIMETERS,,I/R/M,,,006-05152-0003,ALLIEDSIGNAL,HX
066-3054-03,RADAR ALTIMETERS,,I/R/M,,,006-05152-0003,ALLIEDSIGNAL,HX
066-3054-04,RADAR ALTIMETERS,,I/R/M,,,006-05152-0003,ALLIEDSIGNAL,HX
066-1069-00,DME INDICATOR,,I/R/M,,,006-05176-0003,BENDIX/KING,HX
066-1069-04,DME INDICATOR,,I/R/M,,,006-05176-0003,BENDIX/KING,HX
069-1024-00,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-01,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-02,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-03,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-04,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-05,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-06,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-07,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-08,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-09,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-10,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-11,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-12,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-13,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-14,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-15,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-16,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-17,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-18,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-19,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-20,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-30,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-31,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-32,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-33,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-34,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-35,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-36,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-37,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-38,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-39,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-40,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-41,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-42,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1024-43,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-00,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-01,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-02,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-03,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-04,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-05,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-06,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-07,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-20,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-21,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-22,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-23,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-24,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-25,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-26,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
069-1025-27,VHF NAV/COM TRANSCEIVER,,I/R/M,,,006-05179-0009,HONEYWELL,HX
066-1055-00,AUDIO PANEL/MARKER BEACON RECEIVER,,I/R/M,,,006-05180-0001,ALLIEDSIGNAL,HX
066-1055-01,AUDIO PANEL/MARKER BEACON RECEIVER,,I/R/M,,,006-05180-0001,ALLIEDSIGNAL,HX
066-1055-02,AUDIO PANEL/MARKER BEACON RECEIVER,,I/R/M,,,006-05180-0001,ALLIEDSIGNAL,HX
066-1055-03,AUDIO PANEL/MARKER BEACON RECEIVER,,I/R/M,,,006-05180-0001,ALLIEDSIGNAL,HX
066-01141-0101,ATCRBS TRANSPONDER,,I/R/M,,,006-05306-0003,ALLIEDSIGNAL,HX
066-01141-0201,ATCRBS TRANSPONDER,,I/R/M,,,006-05306-0003,ALLIEDSIGNAL,HX
066-01141-1101,ATCRBS TRANSPONDER,,I/R/M,,,006-05306-0003,ALLIEDSIGNAL,HX
071-1284-04,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-05,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-06,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-07,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-08,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-09,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-10,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-11,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-12,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-13,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-14,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-15,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-16,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
071-1284-17,ADF CONTROL UNIT,,I/R/M,,,006-05624-0004,BENDIX/KING,HX
066-01156-0101,ATCRBS TRANSPONDER,,I/R/M,,,006-15545-0003,BENDIX/KING,HX
KT76C,ATCRBS TRANSPONDER,,I/R/M,,,006-15545-0003,BENDIX/KING,HX
064-1023-00,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-01,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-02,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-03,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-04,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-05,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-06,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-07,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-08,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-09,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-10,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-11,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-12,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-13,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-14,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
064-1023-15,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15667-0009,HONEYWELL,HX
071-1215-24,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-25,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-26,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-27,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-29,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-30,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-31,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-32,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-33,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-34,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-35,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-36,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-37,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-38,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-39,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-40,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-41,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-42,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-43,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-44,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-45,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-54,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-55,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-56,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-57,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-59,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-60,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-61,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-62,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-64,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-65,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-66,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-67,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-70,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1215-71,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15668-0009,HONEYWELL,HX
071-1282-24,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-25,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-26,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-27,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-28,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-29,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-30,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-31,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-32,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-34,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-35,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-36,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-37,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-38,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-39,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-40,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-41,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-42,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-43,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-44,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-45,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-46,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-47,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-48,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-49,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-50,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-51,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-52,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-53,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-54,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-55,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-56,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-64,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-65,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-66,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-67,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-69,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-70,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-71,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-72,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-74,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-75,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-76,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-77,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-80,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-81,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-86,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-87,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-88,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-89,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-90,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-91,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-92,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-93,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-94,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-95,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-96,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
071-1282-99,VHF COMMUNICATIONS TRANSCEIVERS,,I/R/M,,,006-15669-0012,ALLIEDSIGNAL,HX
066-1093-00,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-5561-0003,ALLIEDSIGNAL,HX
066-1093-01,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-5561-0003,ALLIEDSIGNAL,HX
066-1093-02,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-5561-0003,ALLIEDSIGNAL,HX
066-1093-03,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-5561-0003,ALLIEDSIGNAL,HX
066-1093-10,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-5561-0003,ALLIEDSIGNAL,HX
066-1093-30,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-5561-0003,ALLIEDSIGNAL,HX
066-1094-00,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-5561-0003,ALLIEDSIGNAL,HX
066-1094-01,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-5561-0003,ALLIEDSIGNAL,HX
066-1094-02,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-5561-0003,ALLIEDSIGNAL,HX
066-1094-03,DISTANCE MEASURING EQUIPMENT,,I/R/M,,,006-5561-0003,ALLIEDSIGNAL,HX
233U3204-19,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-21,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-22,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-23,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-24,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-25,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-26,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-27,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-28,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-29,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-300,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-301,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-302,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-303,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-304,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-305,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-306,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-307,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-308,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-309,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-311,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-312,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-313,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-314,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-315,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-316,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-317,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-318,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-319,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-320,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-321,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-322,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-323,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-324,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-325,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-326,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-327,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-328,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-36,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-38,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-39,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
233U3204-40,Cabin Temperature Module Assembly,,I/R/M,,,21-00-01,BAE,HX
